price;host_since;neighbourhood_cleansed;city;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;cleaning_fee;guests_included;minimum_nights;maximum_nights;number_of_reviews;instant_bookable;calculated_host_listings_count;apartment;house;private_room;shared_room;strict_cancel;flexible_cancel;moderate_cancel
129.0;2911.0;1;1;2.0;2.0;1.0;1.0;1;12;50.0;1.0;1.0;326.0;0.0;1;5.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0
130.0;2216.0;1;1;5.0;1.0;1.0;3.0;1;21;0.0;3.0;2.0;1125.0;51.0;1;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
75.0;2961.0;0;1;2.0;1.0;1.0;1.0;1;18;0.0;2.0;1.0;1125.0;0.0;1;2.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0
130.0;2771.0;1;1;2.0;1.0;1.0;1.0;1;8;25.0;1.0;1.0;7.0;6.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
189.0;3105.0;1;1;5.0;1.0;2.0;2.0;1;19;50.0;5.0;2.0;200.0;0.0;0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
140.0;3293.0;1;1;4.0;1.0;2.0;2.0;1;20;30.0;1.0;1.0;1125.0;2.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
119.0;1911.0;1;1;4.0;1.0;1.0;2.0;1;14;75.0;4.0;1.0;1125.0;0.0;1;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
84.0;2978.0;1;1;2.0;1.0;1.0;1.0;1;7;60.0;1.0;2.0;25.0;8.0;1;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
500.0;2408.0;0;1;8.0;3.013746803499;3.7347608535457617;5.0;1;14;173.9625215685898;1.0;3.0;1125.0;8.0;1;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0
115.0;3777.0;0;1;2.0;1.0;1.0;1.0;1;12;173.9625215685898;1.0;1.0;1125.0;0.0;1;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
84.0;2564.0;0;1;2.0;1.0;1.0;1.0;1;15;0.0;0.0;2.0;240.0;10.0;0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0
40.0;2497.0;0;1;2.0;1.5;1.0;1.0;1;12;0.0;1.0;1.0;1125.0;9.0;1;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
75.0;2924.0;1;1;2.0;1.5;1.0;1.0;1;11;10.0;1.0;1.0;1125.0;1.0;1;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0
220.0;2430.0;1;1;2.0;1.0;1.0;1.0;1;10;0.0;1.0;2.0;1125.0;5.0;1;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0
99.0;2542.0;0;1;2.0;1.0;0.0;1.0;1;14;35.0;2.0;3.0;29.0;16.0;1;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
